unique_id,timepoint,domain,age,gender,block_order,met_performance_criteria_typical,met_performance_criteria_stricter,D_overall,D_tt1,D_tt2,D_tt3,D_tt4,PI_overall,PI_tt1,PI_tt2,PI_tt3,PI_tt4
PTSD_216,1,Stigma - PTSD,18,Male,consistent first,TRUE,TRUE,-0.1979853908108927,0.2649798613661028,-0.27014274868559834,-0.5631211685835399,-0.3500645235032122,0.44037543402777785,0.6302083333333334,0.4583333333333333,0.2803819444444445,0.36371527777777785
PTSD_219,1,Stigma - PTSD,18,Female,consistent first,TRUE,TRUE,0.16542376461967542,0.7198834610653932,-0.2822795645268849,0.03875389985458941,0.4998968065545195,0.5594075520833334,0.6753472222222222,0.44097222222222215,0.4930555555555555,0.65625
PTSD_223,1,Stigma - PTSD,19,Male,consistent first,TRUE,TRUE,-0.28463298415286586,-0.459361219276232,-0.45828129864560674,-0.365072438565361,0.16172870384723986,0.4310438368055555,0.42621527777777785,0.3984375,0.4140625,0.48003472222222215
PTSD_224,1,Stigma - PTSD,19,Female,consistent first,TRUE,TRUE,-0.026945245064719854,0.409488381027165,-0.4250431095816331,-0.1574746313887586,0.1605121515574652,0.4422743055555555,0.6258680555555555,0.28732638888888884,0.36545138888888884,0.5164930555555555
PTSD_228,1,Stigma - PTSD,20,Male,consistent first,TRUE,TRUE,0.16781308821198768,0.49818714444981244,0.3728875010128448,-0.4064901619559617,0.20568559619106383,0.5278862847222222,0.6197916666666666,0.5703125,0.40972222222222215,0.5251736111111112
PTSD_235,1,Stigma - PTSD,19,Female,consistent first,TRUE,TRUE,0.17098393228245895,0.40137675897193503,-0.02831811658738641,0.08850108406889692,0.15581618889103596,0.48562282986111116,0.5121527777777778,0.38107638888888884,0.47829861111111116,0.5442708333333334
PTSD_237,1,Stigma - PTSD,18,Male,consistent first,TRUE,FALSE,0.017814296611078008,0.5635211978004614,-0.3924862031998131,0.12253670423444656,-0.13865686442423214,0.53662109375,0.6779513888888888,0.48003472222222215,0.5529513888888888,0.4713541666666667
PTSD_241,1,Stigma - PTSD,19,Female,consistent first,TRUE,TRUE,0.22514104374861815,0.47061711964017056,0.33348941533725207,-0.12732172687929727,0.3093633582755162,0.5850694444444445,0.7092013888888888,0.6649305555555555,0.4322916666666667,0.6223958333333334
PTSD_242,1,Stigma - PTSD,18,Female,consistent first,TRUE,TRUE,0.20148153735846122,0.6765988588913124,0.1717736119576654,-0.13922664154462952,0.06947916121702286,0.5624457465277778,0.7065972222222222,0.5546875,0.47829861111111116,0.5130208333333334
PTSD_246,1,Stigma - PTSD,18,Female,consistent first,TRUE,TRUE,-0.20662252268594392,-0.4220486397942982,-0.14625754760344553,-0.39908361221078376,0.005936909122364963,0.41460503472222215,0.390625,0.4010416666666667,0.36892361111111116,0.5199652777777778
PTSD_248,1,Stigma - PTSD,19,Female,consistent first,TRUE,TRUE,-0.23175983761695537,-0.03894789116314993,0.11732255258659037,-0.22401918807192162,-0.6286737925156024,0.4734700520833333,0.5442708333333334,0.5243055555555555,0.4322916666666667,0.4036458333333333
PTSD_253,1,Stigma - PTSD,21,Male,consistent first,TRUE,FALSE,0.2276107714878801,0.6108448725401645,0.09276429428228987,-0.40747975592797514,0.6002025953374012,0.5757921006944445,0.7230902777777778,0.5486111111111112,0.4131944444444445,0.6579861111111112
PTSD_255,1,Stigma - PTSD,NA,Female,consistent first,TRUE,TRUE,-0.033193286759609954,0.39298221596135546,-0.24986252970172754,-0.147411892097558,-0.2622322272146763,0.4908854166666667,0.6397569444444445,0.40798611111111116,0.4869791666666667,0.4348958333333333
PTSD_259,1,Stigma - PTSD,19,Female,consistent first,TRUE,FALSE,0.05320917068438612,0.07173058897943838,0.3225189841153511,-0.13783500699724902,-0.12522467819030625,0.5116102430555555,0.6449652777777778,0.5833333333333334,0.40798611111111116,0.4210069444444445
